route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
30120011,20201,14771000,PAFOS AIRPORT,30120011,0
30120012,20201,14771001,KARAVELLA ST.,30120012,1
30000022,20201,14771002,KARAVELLA ST.,30000022,1
30330011,20201,14771003,POLIS CHRYSOCHOUS,30330011,0
30330011,20201,14771004,POLIS CHRYSOCHOUS,30330011,0
30170011,20201,14771005,APHRODITE BATHS,30170011,0
30170012,20201,14771006,POLIS CHRYSOCHOUS,30170012,1
30240011,20201,14771007,AGIOS NIKOLAOS,30240011,0
30240012,20201,14771008,KARAVELLA ST.,30240012,1
30240011,20201,14771009,AGIOS NIKOLAOS,30240011,0
30240012,20201,14771010,KARAVELLA ST.,30240012,1
30090012,20201,14771011,HARBOUR STATION,30090012,1
30090021,20201,14771012,MUN MARKET ST,30090021,0
30090012,20201,14771013,HARBOUR STATION,30090012,1
30090011,20201,14771014,MUN MARKET ST,30090011,0
30090012,20201,14771015,HARBOUR STATION,30090012,1
30090011,20201,14771016,MUN MARKET ST,30090011,0
30090012,20201,14771017,HARBOUR STATION,30090012,1
30090011,20201,14771018,MUN MARKET ST,30090011,0
30090012,20201,14771019,HARBOUR STATION,30090012,1
30090011,20201,14771020,MUN MARKET ST,30090011,0
30090012,20201,14771021,HARBOUR STATION,30090012,1
30090011,20201,14771022,MUN MARKET ST,30090011,0
30090012,20201,14771023,HARBOUR STATION,30090012,1
30090011,20201,14771024,MUN MARKET ST,30090011,0
30090012,20201,14771025,HARBOUR STATION,30090012,1
30090011,20201,14771026,MUN MARKET ST,30090011,0
30090012,20201,14771027,HARBOUR STATION,30090012,1
30090011,20201,14771028,MUN MARKET ST,30090011,0
30090012,20201,14771029,HARBOUR STATION,30090012,1
30090011,20201,14771030,MUN MARKET ST,30090011,0
30090012,20201,14771031,HARBOUR STATION,30090012,1
30090011,20201,14771032,MUN MARKET ST,30090011,0
30090012,20201,14771033,HARBOUR STATION,30090012,1
30090011,20201,14771034,MUN MARKET ST,30090011,0
30090012,20201,14771035,HARBOUR STATION,30090012,1
30090011,20201,14771036,MUN MARKET ST,30090011,0
30090012,20201,14771037,HARBOUR STATION,30090012,1
30090011,20201,14771038,MUN MARKET ST,30090011,0
30160011,20201,14771039,TOMBS OF KINGS ST,30160011,0
30020011,20201,14771040,TOMBS OF KINGS ST,30020011,0
30020012,20201,14771041,TOWN CENTER,30020012,1
30020011,20201,14771042,TOMBS OF KINGS ST,30020011,0
30020012,20201,14771043,TOWN CENTER,30020012,1
30020011,20201,14771044,TOMBS OF KINGS ST,30020011,0
30020012,20201,14771045,TOWN CENTER,30020012,1
30020011,20201,14771046,TOMBS OF KINGS ST,30020011,0
30020012,20201,14771047,TOWN CENTER,30020012,1
30020011,20201,14771048,TOMBS OF KINGS ST,30020011,0
30020012,20201,14771049,TOWN CENTER,30020012,1
30020011,20201,14771050,TOMBS OF KINGS ST,30020011,0
30020012,20201,14771051,TOWN CENTER,30020012,1
30020011,20201,14771052,TOMBS OF KINGS ST,30020011,0
30020012,20201,14771053,TOWN CENTER,30020012,1
30230021,20201,14771054,ARCHIMANDRITA,30230021,0
30230012,20201,14771055,KARAVELLA ST.,30230012,1
30230011,20201,14771056,ARCHIMANDRITA,30230011,0
30230012,20201,14771057,KARAVELLA ST.,30230012,1
30100021,20201,14771058,GEROSKIPOU BEACH,30100021,0
30100022,20201,14771059,TOMBS OF KINGS ST,30100022,1
30100021,20201,14771060,GEROSKIPOU BEACH,30100021,0
30100022,20201,14771061,TOMBS OF KINGS ST,30100022,1
30100021,20201,14771062,GEROSKIPOU BEACH,30100021,0
30100022,20201,14771063,TOMBS OF KINGS ST,30100022,1
30100021,20201,14771064,GEROSKIPOU BEACH,30100021,0
30100022,20201,14771065,TOMBS OF KINGS ST,30100022,1
30100021,20201,14771066,GEROSKIPOU BEACH,30100021,0
30100022,20201,14771067,TOMBS OF KINGS ST,30100022,1
30100021,20201,14771068,GEROSKIPOU BEACH,30100021,0
30100022,20201,14771069,TOMBS OF KINGS ST,30100022,1
30100021,20201,14771070,GEROSKIPOU BEACH,30100021,0
30100022,20201,14771071,TOMBS OF KINGS ST,30100022,1
30100021,20201,14771072,GEROSKIPOU BEACH,30100021,0
30100022,20201,14771073,TOMBS OF KINGS ST,30100022,1
30160011,20201,14771074,TOMBS OF KINGS ST,30160011,0
30140011,20201,14771075,CORAL BAY,30140011,0
30140012,20201,14771076,TOMBS OF KINGS ST,30140012,1
30140011,20201,14771077,CORAL BAY,30140011,0
30140012,20201,14771078,TOMBS OF KINGS ST,30140012,1
30140011,20201,14771079,CORAL BAY,30140011,0
30140012,20201,14771080,TOMBS OF KINGS ST,30140012,1
30140011,20201,14771081,CORAL BAY,30140011,0
30140012,20201,14771082,TOMBS OF KINGS ST,30140012,1
30140011,20201,14771083,CORAL BAY,30140011,0
30140012,20201,14771084,TOMBS OF KINGS ST,30140012,1
30140011,20201,14771085,CORAL BAY,30140011,0
30140012,20201,14771086,TOMBS OF KINGS ST,30140012,1
30140011,20201,14771087,CORAL BAY,30140011,0
30140012,20201,14771088,TOMBS OF KINGS ST,30140012,1
30140011,20201,14771089,CORAL BAY,30140011,0
30140012,20201,14771090,TOMBS OF KINGS ST,30140012,1
30140011,20201,14771091,CORAL BAY,30140011,0
30140012,20201,14771092,TOMBS OF KINGS ST,30140012,1
30140011,20201,14771093,CORAL BAY,30140011,0
30140012,20201,14771094,TOMBS OF KINGS ST,30140012,1
30140011,20201,14771095,CORAL BAY,30140011,0
30140012,20201,14771096,TOMBS OF KINGS ST,30140012,1
30140011,20201,14771097,CORAL BAY,30140011,0
30140012,20201,14771098,TOMBS OF KINGS ST,30140012,1
30140011,20201,14771099,CORAL BAY,30140011,0
30100021,20201,14771100,GEROSKIPOU BEACH,30100021,0
30100022,20201,14771101,TOMBS OF KINGS ST,30100022,1
30350011,20201,14771102,KARAVELLA ST.,30350011,0
